Fecha;IP;Status;Position
2021-02-03 07:44:27;192.168.150.238:1813;deactivated;globallist
2021-02-03 07:43:55;192.168.150.237:1813;activated;globallist
2021-02-03 07:43:55;192.168.150.238:1813;deactivated;globallist
2021-02-03 07:43:55;192.168.150.238:1813;deactivated;globallist
2021-02-03 07:43:40;192.168.150.237:1813;activated;globallist
2021-02-03 07:43:40;192.168.150.238:1813;deactivated;globallist
2021-02-03 07:43:40;192.168.150.238:1813;deactivated;globallist
2021-02-03 07:43:29;192.168.150.237:1813;activated;globallist
2021-02-03 07:43:29;192.168.150.238:1813;deactivated;globallist
2021-02-03 07:43:29;192.168.150.238:1813;deactivated;globallist
2021-02-03 07:43:16;192.168.150.237:1813;activated;globallist
2021-02-03 07:43:16;192.168.150.238:1813;deactivated;globallist
2021-02-03 07:43:16;192.168.150.238:1813;deactivated;globallist
2021-02-03 07:42:05;192.168.150.237:1813;activated;globallist
2021-02-03 07:42:05;192.168.150.238:1813;deactivated;globallist
2021-02-03 07:42:05;192.168.150.238:1813;deactivated;globallist
2021-02-03 07:41:30;192.168.150.237:1813;activated;globallist
2021-02-03 07:41:30;192.168.150.238:1813;deactivated;globallist
2021-02-03 07:41:30;192.168.150.238:1813;deactivated;globallist
2021-02-03 07:41:12;192.168.150.237:1813;activated;globallist
2021-02-03 07:41:12;192.168.150.238:1813;deactivated;globallist
2021-02-03 07:41:12;192.168.150.238:1813;deactivated;globallist
2021-02-03 07:41:01;192.168.150.237:1813;activated;globallist
2021-02-03 07:41:01;192.168.150.238:1813;deactivated;globallist
2021-02-03 07:41:01;192.168.150.238:1813;deactivated;globallist
2021-02-03 07:40:37;192.168.150.237:1813;activated;globallist
2021-02-03 07:40:37;192.168.150.238:1813;deactivated;globallist
2021-02-03 07:40:37;192.168.150.238:1813;deactivated;globallist
2021-02-03 07:40:04;192.168.150.237:1813;activated;globallist
2021-02-03 07:40:04;192.168.150.238:1813;deactivated;globallist
2021-02-03 07:40:04;192.168.150.238:1813;deactivated;globallist
2021-02-03 07:39:22;192.168.150.237:1813;activated;globallist
2021-02-03 07:39:22;192.168.150.238:1813;deactivated;globallist
2021-02-03 07:39:22;192.168.150.238:1813;deactivated;globallist
2021-02-03 07:39:01;192.168.150.237:1813;activated;globallist
2021-02-03 07:39:01;192.168.150.238:1813;deactivated;globallist
2021-02-03 07:39:01;192.168.150.238:1813;deactivated;globallist
2021-02-03 07:38:34;192.168.150.237:1813;activated;globallist
2021-02-03 07:38:34;192.168.150.238:1813;deactivated;globallist
2021-02-03 07:38:34;192.168.150.238:1813;deactivated;globallist
2021-02-03 07:38:22;192.168.150.237:1813;activated;globallist
2021-02-03 07:38:22;192.168.150.238:1813;deactivated;globallist
2021-02-03 07:38:22;192.168.150.238:1813;deactivated;globallist
2021-02-03 07:38:08;192.168.150.237:1813;activated;globallist
2021-02-03 07:38:08;192.168.150.238:1813;deactivated;globallist
2021-02-03 07:38:08;192.168.150.238:1813;deactivated;globallist
2021-02-03 07:36:39;192.168.150.237:1813;activated;globallist
2021-02-03 07:36:39;192.168.150.238:1813;deactivated;globallist
2021-02-03 07:36:39;192.168.150.238:1813;deactivated;globallist
2021-02-03 07:36:04;192.168.150.237:1813;activated;globallist
2021-02-03 07:36:04;192.168.150.238:1813;deactivated;globallist
2021-02-03 07:36:04;192.168.150.238:1813;deactivated;globallist
2021-02-03 07:34:23;192.168.150.237:1813;activated;globallist
2021-02-03 07:34:23;192.168.150.238:1813;deactivated;globallist
2021-02-03 07:34:23;192.168.150.238:1813;deactivated;globallist
2021-02-03 07:33:02;192.168.150.237:1813;activated;globallist
2021-02-03 07:33:02;192.168.150.238:1813;deactivated;globallist
2021-02-03 07:33:02;192.168.150.238:1813;deactivated;globallist
2021-02-03 07:32:45;192.168.150.237:1813;activated;globallist
2021-02-03 07:32:45;192.168.150.238:1813;deactivated;globallist
2021-02-03 07:32:45;192.168.150.238:1813;deactivated;globallist
2021-02-04 07:50:36;192.168.150.237:1813;activated;globallist
2021-02-04 07:50:36;192.168.150.238:1813;deactivated;globallist
2021-02-04 07:50:36;192.168.150.238:1813;deactivated;globallist
2021-02-04 07:50:20;192.168.150.237:1813;activated;globallist
2021-02-04 07:50:20;192.168.150.238:1813;deactivated;globallist
2021-02-04 07:50:20;192.168.150.238:1813;deactivated;globallist
2021-02-04 07:49:40;192.168.150.237:1813;activated;globallist
2021-02-04 07:49:40;192.168.150.238:1813;deactivated;globallist
2021-02-04 07:49:40;192.168.150.238:1813;deactivated;globallist
2021-02-04 07:49:21;192.168.150.237:1813;activated;globallist
2021-02-04 07:49:21;192.168.150.238:1813;deactivated;globallist
2021-02-04 07:49:21;192.168.150.238:1813;deactivated;globallist
2021-02-04 07:49:02;192.168.150.237:1813;activated;globallist
2021-02-04 07:49:02;192.168.150.238:1813;deactivated;globallist
2021-02-04 07:49:02;192.168.150.238:1813;deactivated;globallist
2021-02-04 07:48:53;192.168.150.237:1813;activated;globallist
2021-02-04 07:48:53;192.168.150.238:1813;deactivated;globallist
2021-02-04 07:48:53;192.168.150.238:1813;deactivated;globallist
2021-02-04 07:48:27;192.168.150.237:1813;activated;globallist
2021-02-04 07:48:27;192.168.150.238:1813;deactivated;globallist
2021-02-04 07:48:27;192.168.150.238:1813;deactivated;globallist
2021-02-04 07:48:16;192.168.150.237:1813;activated;globallist
2021-02-04 07:48:16;192.168.150.238:1813;deactivated;globallist
2021-02-04 07:48:16;192.168.150.238:1813;deactivated;globallist
2021-02-04 07:47:48;192.168.150.237:1813;activated;globallist
2021-02-04 07:47:48;192.168.150.238:1813;deactivated;globallist
2021-02-04 07:47:48;192.168.150.238:1813;deactivated;globallist
2021-02-04 07:47:16;192.168.150.237:1813;activated;globallist
2021-02-04 07:47:16;192.168.150.238:1813;deactivated;globallist
2021-02-04 07:47:16;192.168.150.238:1813;deactivated;globallist
2021-02-04 07:46:52;192.168.150.237:1813;activated;globallist
2021-02-04 07:46:52;192.168.150.238:1813;deactivated;globallist
2021-02-04 07:46:52;192.168.150.238:1813;deactivated;globallist
2021-02-04 07:46:31;192.168.150.237:1813;activated;globallist
2021-02-04 07:46:31;192.168.150.238:1813;deactivated;globallist
2021-02-04 07:46:31;192.168.150.238:1813;deactivated;globallist
2021-02-04 07:46:15;192.168.150.237:1813;activated;globallist
2021-02-04 07:46:15;192.168.150.238:1813;deactivated;globallist
2021-02-04 07:46:15;192.168.150.238:1813;deactivated;globallist
2021-02-04 07:45:55;192.168.150.237:1813;activated;globallist
2021-02-04 07:45:55;192.168.150.238:1813;deactivated;globallist
2021-02-04 07:45:55;192.168.150.238:1813;deactivated;globallist
2021-02-04 07:43:51;192.168.150.237:1813;activated;globallist
2021-02-04 07:43:51;192.168.150.238:1813;deactivated;globallist
2021-02-04 07:43:51;192.168.150.238:1813;deactivated;globallist
2021-02-04 07:43:27;192.168.150.237:1813;activated;globallist
2021-02-04 07:43:27;192.168.150.238:1813;deactivated;globallist
2021-02-04 07:43:27;192.168.150.238:1813;deactivated;globallist
2021-02-04 07:43:12;192.168.150.237:1813;activated;globallist
2021-02-04 07:43:12;192.168.150.238:1813;deactivated;globallist
2021-02-04 07:43:12;192.168.150.238:1813;deactivated;globallist
2021-02-04 07:42:07;192.168.150.237:1813;activated;globallist
2021-02-04 07:42:07;192.168.150.238:1813;deactivated;globallist
2021-02-04 07:42:07;192.168.150.238:1813;deactivated;globallist
2021-02-04 07:41:47;192.168.150.237:1813;activated;globallist
2021-02-04 07:41:47;192.168.150.238:1813;deactivated;globallist
2021-02-04 07:41:47;192.168.150.238:1813;deactivated;globallist
2021-02-04 07:41:20;192.168.150.237:1813;activated;globallist
2021-02-04 07:41:20;192.168.150.238:1813;deactivated;globallist
2021-02-04 07:41:20;192.168.150.238:1813;deactivated;globallist
2021-02-04 07:40:46;192.168.150.237:1813;activated;globallist
2021-02-04 07:40:46;192.168.150.238:1813;deactivated;globallist
2021-02-04 07:40:46;192.168.150.238:1813;deactivated;globallist
2021-02-04 07:39:41;192.168.150.237:1813;activated;globallist
2021-02-04 07:39:41;192.168.150.238:1813;deactivated;globallist
2021-02-04 07:39:41;192.168.150.238:1813;deactivated;globallist
2021-02-04 07:38:19;192.168.150.237:1813;activated;globallist
2021-02-04 07:38:19;192.168.150.238:1813;deactivated;globallist
2021-02-04 07:38:19;192.168.150.238:1813;deactivated;globallist
2021-02-04 07:38:01;192.168.150.237:1813;activated;globallist
2021-02-04 07:38:01;192.168.150.238:1813;deactivated;globallist
2021-02-04 07:38:01;192.168.150.238:1813;deactivated;globallist
2021-02-04 07:37:28;192.168.150.237:1813;activated;globallist
2021-02-04 07:37:28;192.168.150.238:1813;deactivated;globallist
2021-02-04 07:37:28;192.168.150.238:1813;deactivated;globallist
2021-02-04 07:36:45;192.168.150.237:1813;activated;globallist
2021-02-04 07:36:45;192.168.150.238:1813;deactivated;globallist
2021-02-04 07:36:45;192.168.150.238:1813;deactivated;globallist
2021-02-04 07:36:14;192.168.150.237:1813;activated;globallist
2021-02-04 07:36:14;192.168.150.238:1813;deactivated;globallist
2021-02-04 07:36:14;192.168.150.238:1813;deactivated;globallist
2021-02-04 07:35:51;192.168.150.237:1813;activated;globallist
2021-02-04 07:35:51;192.168.150.238:1813;deactivated;globallist
2021-02-04 07:35:51;192.168.150.238:1813;deactivated;globallist
2021-02-04 07:35:27;192.168.150.237:1813;activated;globallist
2021-02-04 07:35:27;192.168.150.238:1813;deactivated;globallist
2021-02-04 07:35:27;192.168.150.238:1813;deactivated;globallist
2021-02-04 07:35:12;192.168.150.237:1813;activated;globallist
2021-02-04 07:35:12;192.168.150.238:1813;deactivated;globallist
2021-02-04 07:35:12;192.168.150.238:1813;deactivated;globallist
2021-02-04 07:33:07;192.168.150.237:1813;activated;globallist
2021-02-04 07:33:07;192.168.150.238:1813;deactivated;globallist
2021-02-04 07:33:07;192.168.150.238:1813;deactivated;globallist
2021-02-04 07:32:14;192.168.150.237:1813;activated;globallist
2021-02-04 07:32:14;192.168.150.238:1813;deactivated;globallist
2021-02-04 07:32:14;192.168.150.238:1813;deactivated;globallist
2021-02-04 07:32:00;192.168.150.237:1813;activated;globallist
2021-02-04 07:32:00;192.168.150.238:1813;deactivated;globallist
2021-02-04 07:32:00;192.168.150.238:1813;deactivated;globallist
2021-02-04 07:31:42;192.168.150.237:1813;activated;globallist
2021-02-04 07:31:42;192.168.150.238:1813;deactivated;globallist
2021-02-04 07:31:42;192.168.150.238:1813;deactivated;globallist
2021-02-04 07:30:56;192.168.150.237:1813;activated;globallist
2021-02-04 07:30:56;192.168.150.238:1813;deactivated;globallist
2021-02-04 07:30:56;192.168.150.238:1813;deactivated;globallist
2021-02-04 07:29:49;192.168.150.237:1813;activated;globallist
2021-02-04 07:29:49;192.168.150.238:1813;deactivated;globallist
2021-02-04 07:29:49;192.168.150.238:1813;deactivated;globallist
2021-02-04 07:29:28;192.168.150.237:1813;activated;globallist
2021-02-04 07:29:28;192.168.150.238:1813;deactivated;globallist
2021-02-04 07:29:28;192.168.150.238:1813;deactivated;globallist
2021-02-04 07:28:46;192.168.150.237:1813;activated;globallist
2021-02-04 07:28:46;192.168.150.238:1813;deactivated;globallist
2021-02-04 07:28:46;192.168.150.238:1813;deactivated;globallist
2021-02-04 07:27:34;192.168.150.237:1813;activated;globallist
2021-02-04 07:27:34;192.168.150.238:1813;deactivated;globallist
2021-02-04 07:27:34;192.168.150.238:1813;deactivated;globallist
2021-02-04 07:26:56;192.168.150.237:1813;activated;globallist
2021-02-04 07:26:56;192.168.150.238:1813;deactivated;globallist
2021-02-04 07:26:56;192.168.150.238:1813;deactivated;globallist
2021-02-04 07:26:13;192.168.150.237:1813;activated;globallist
2021-02-04 07:26:13;192.168.150.238:1813;deactivated;globallist
2021-02-04 07:26:13;192.168.150.238:1813;deactivated;globallist
2021-02-04 07:26:03;192.168.150.237:1813;activated;globallist
2021-02-04 07:26:03;192.168.150.238:1813;deactivated;globallist
2021-02-04 07:26:03;192.168.150.238:1813;deactivated;globallist
2021-02-04 07:25:22;192.168.150.237:1813;activated;globallist
2021-02-04 07:25:22;192.168.150.238:1813;deactivated;globallist
2021-02-04 07:25:22;192.168.150.238:1813;deactivated;globallist
2021-02-05 08:00:13;192.168.150.237:1813;activated;globallist
2021-02-05 08:00:13;192.168.150.238:1813;deactivated;globallist
2021-02-05 08:00:13;192.168.150.238:1813;deactivated;globallist
2021-02-05 07:59:39;192.168.150.237:1813;activated;globallist
2021-02-05 07:59:39;192.168.150.238:1813;deactivated;globallist
2021-02-05 07:59:39;192.168.150.238:1813;deactivated;globallist
2021-02-05 07:59:27;192.168.150.237:1813;activated;globallist
2021-02-05 07:59:27;192.168.150.238:1813;deactivated;globallist
2021-02-05 07:59:27;192.168.150.238:1813;deactivated;globallist
2021-02-05 07:58:55;192.168.150.237:1813;activated;globallist
2021-02-05 07:58:55;192.168.150.238:1813;deactivated;globallist
2021-02-05 07:58:55;192.168.150.238:1813;deactivated;globallist
2021-02-05 07:58:46;192.168.150.237:1813;activated;globallist
2021-02-05 07:58:46;192.168.150.238:1813;deactivated;globallist
2021-02-05 07:58:46;192.168.150.238:1813;deactivated;globallist
2021-02-05 07:58:04;192.168.150.237:1813;activated;globallist
2021-02-05 07:58:04;192.168.150.238:1813;deactivated;globallist
2021-02-05 07:58:04;192.168.150.238:1813;deactivated;globallist
2021-02-05 07:57:44;192.168.150.237:1813;activated;globallist
2021-02-05 07:57:44;192.168.150.238:1813;deactivated;globallist
2021-02-05 07:57:44;192.168.150.238:1813;deactivated;globallist
2021-02-05 07:57:18;192.168.150.237:1813;activated;globallist
2021-02-05 07:57:18;192.168.150.238:1813;deactivated;globallist
