Fecha;APBaseRadioMAC;IPAddress;MACAddress
2021-04-16 07:49:43;58:97:bd:d6:45:60;192.168.120.59;5c:83:8f:45:19:64
2021-04-16 07:49:30;5c:83:8f:45:19:64;192.168.120.59;58:97:bd:d6:45:60
2021-04-16 07:49:19;18:8b:9d:dc:de:c4;192.168.120.224;18:8b:9d:bc:b0:3c
2021-04-16 07:49:14;18:8b:9d:bc:b0:3c;192.168.120.224;18:8b:9d:dc:de:c4
2021-04-16 07:49:13;58:97:bd:d6:45:60;192.168.120.59;5c:83:8f:45:19:64
2021-04-16 07:49:00;5c:83:8f:45:19:64;192.168.120.59;58:97:bd:d6:45:60
2021-04-16 07:48:49;18:8b:9d:dc:de:c4;192.168.120.224;18:8b:9d:bc:b0:3c
2021-04-16 07:48:43;18:8b:9d:bc:b0:3c;192.168.120.224;18:8b:9d:dc:de:c4
2021-04-16 07:48:43;58:97:bd:d6:45:60;192.168.120.59;5c:83:8f:45:19:64
2021-04-16 07:48:30;5c:83:8f:45:19:64;192.168.120.59;58:97:bd:d6:45:60
2021-04-16 07:48:19;18:8b:9d:dc:de:c4;192.168.120.224;18:8b:9d:bc:b0:3c
2021-04-16 07:48:13;58:97:bd:d6:45:60;192.168.120.59;5c:83:8f:45:19:64
2021-04-16 07:48:11;18:8b:9d:bc:b0:3c;192.168.120.224;18:8b:9d:dc:de:c4
2021-04-16 07:48:00;5c:83:8f:45:19:64;192.168.120.59;58:97:bd:d6:45:60
2021-04-16 07:47:49;18:8b:9d:dc:de:c4;192.168.120.224;18:8b:9d:bc:b0:3c
2021-04-16 07:47:43;58:97:bd:d6:45:60;192.168.120.59;5c:83:8f:45:19:64
2021-04-16 07:47:41;18:8b:9d:bc:b0:3c;192.168.120.224;18:8b:9d:dc:de:c4
2021-04-16 07:47:30;5c:83:8f:45:19:64;192.168.120.59;58:97:bd:d6:45:60
2021-04-16 07:47:19;18:8b:9d:dc:de:c4;192.168.120.224;18:8b:9d:bc:b0:3c
2021-04-16 07:47:13;58:97:bd:d6:45:60;192.168.120.59;5c:83:8f:45:19:64
2021-04-16 07:47:11;18:8b:9d:bc:b0:3c;192.168.120.224;18:8b:9d:dc:de:c4
2021-04-16 07:47:00;5c:83:8f:45:19:64;192.168.120.59;58:97:bd:d6:45:60
2021-04-16 07:46:49;18:8b:9d:dc:de:c4;192.168.120.224;18:8b:9d:bc:b0:3c
2021-04-16 07:46:43;58:97:bd:d6:45:60;192.168.120.59;5c:83:8f:45:19:64
2021-04-16 07:46:41;18:8b:9d:bc:b0:3c;192.168.120.224;18:8b:9d:dc:de:c4
2021-04-16 07:46:30;5c:83:8f:45:19:64;192.168.120.59;58:97:bd:d6:45:60
2021-04-16 07:46:19;18:8b:9d:dc:de:c4;192.168.120.224;18:8b:9d:bc:b0:3c
2021-04-16 07:46:13;58:97:bd:d6:45:60;192.168.120.59;5c:83:8f:45:19:64
2021-04-16 07:46:11;18:8b:9d:bc:b0:3c;192.168.120.224;18:8b:9d:dc:de:c4
2021-04-16 07:46:00;5c:83:8f:45:19:64;192.168.120.59;58:97:bd:d6:45:60
2021-04-16 07:45:49;18:8b:9d:dc:de:c4;192.168.120.224;18:8b:9d:bc:b0:3c
2021-04-16 07:45:43;58:97:bd:d6:45:60;192.168.120.59;5c:83:8f:45:19:64
2021-04-16 07:45:41;18:8b:9d:bc:b0:3c;192.168.120.224;18:8b:9d:dc:de:c4
2021-04-16 07:45:30;5c:83:8f:45:19:64;192.168.120.59;58:97:bd:d6:45:60
2021-04-16 07:45:19;18:8b:9d:dc:de:c4;192.168.120.224;18:8b:9d:bc:b0:3c
2021-04-16 07:45:13;58:97:bd:d6:45:60;192.168.120.59;5c:83:8f:45:19:64
2021-04-16 07:45:10;18:8b:9d:bc:b0:3c;192.168.120.224;18:8b:9d:dc:de:c4
2021-04-16 07:45:00;5c:83:8f:45:19:64;192.168.120.59;58:97:bd:d6:45:60
2021-04-16 07:44:49;18:8b:9d:dc:de:c4;192.168.120.224;18:8b:9d:bc:b0:3c
2021-04-16 07:44:43;58:97:bd:d6:45:60;192.168.120.59;5c:83:8f:45:19:64
2021-04-16 07:44:38;18:8b:9d:bc:b0:3c;192.168.120.224;18:8b:9d:dc:de:c4
2021-04-16 07:44:30;5c:83:8f:45:19:64;192.168.120.59;58:97:bd:d6:45:60
2021-04-16 07:44:19;18:8b:9d:dc:de:c4;192.168.120.224;18:8b:9d:bc:b0:3c
2021-04-16 07:44:13;58:97:bd:d6:45:60;192.168.120.59;5c:83:8f:45:19:64
2021-04-16 07:44:08;18:8b:9d:bc:b0:3c;192.168.120.224;18:8b:9d:dc:de:c4
2021-04-16 07:44:00;5c:83:8f:45:19:64;192.168.120.59;58:97:bd:d6:45:60
2021-04-16 07:43:49;18:8b:9d:dc:de:c4;192.168.120.224;18:8b:9d:bc:b0:3c
2021-04-16 07:43:43;58:97:bd:d6:45:60;192.168.120.59;5c:83:8f:45:19:64
2021-04-16 07:43:38;18:8b:9d:bc:b0:3c;192.168.120.224;18:8b:9d:dc:de:c4
2021-04-16 07:43:30;5c:83:8f:45:19:64;192.168.120.59;58:97:bd:d6:45:60
2021-04-16 07:43:19;18:8b:9d:dc:de:c4;192.168.120.224;18:8b:9d:bc:b0:3c
2021-04-16 07:43:12;58:97:bd:d6:45:60;192.168.120.59;5c:83:8f:45:19:64
2021-04-16 07:43:08;18:8b:9d:bc:b0:3c;192.168.120.224;18:8b:9d:dc:de:c4
2021-04-16 07:43:00;5c:83:8f:45:19:64;192.168.120.59;58:97:bd:d6:45:60
2021-04-16 07:42:49;18:8b:9d:dc:de:c4;192.168.120.224;18:8b:9d:bc:b0:3c
2021-04-16 07:42:42;58:97:bd:d6:45:60;192.168.120.59;5c:83:8f:45:19:64
2021-04-16 07:42:38;18:8b:9d:bc:b0:3c;192.168.120.224;18:8b:9d:dc:de:c4
2021-04-16 07:42:30;5c:83:8f:45:19:64;192.168.120.59;58:97:bd:d6:45:60
2021-04-16 07:42:19;18:8b:9d:dc:de:c4;192.168.120.224;18:8b:9d:bc:b0:3c
2021-04-16 07:42:12;58:97:bd:d6:45:60;192.168.120.59;5c:83:8f:45:19:64
2021-04-16 07:42:08;18:8b:9d:bc:b0:3c;192.168.120.224;18:8b:9d:dc:de:c4
2021-04-16 07:41:59;5c:83:8f:45:19:64;192.168.120.59;58:97:bd:d6:45:60
2021-04-16 07:41:49;18:8b:9d:dc:de:c4;192.168.120.224;18:8b:9d:bc:b0:3c
2021-04-16 07:41:42;58:97:bd:d6:45:60;192.168.120.59;5c:83:8f:45:19:64
2021-04-16 07:41:38;18:8b:9d:bc:b0:3c;192.168.120.224;18:8b:9d:dc:de:c4
2021-04-16 07:41:29;5c:83:8f:45:19:64;192.168.120.59;58:97:bd:d6:45:60
2021-04-16 07:41:19;18:8b:9d:dc:de:c4;192.168.120.224;18:8b:9d:bc:b0:3c
2021-04-16 07:41:12;58:97:bd:d6:45:60;192.168.120.59;5c:83:8f:45:19:64
2021-04-16 07:41:08;18:8b:9d:bc:b0:3c;192.168.120.224;18:8b:9d:dc:de:c4
2021-04-16 07:40:59;5c:83:8f:45:19:64;192.168.120.59;58:97:bd:d6:45:60
2021-04-16 07:40:49;18:8b:9d:dc:de:c4;192.168.120.224;18:8b:9d:bc:b0:3c
2021-04-16 07:40:42;58:97:bd:d6:45:60;192.168.120.59;5c:83:8f:45:19:64
2021-04-16 07:40:38;18:8b:9d:bc:b0:3c;192.168.120.224;18:8b:9d:dc:de:c4
2021-04-16 07:40:29;5c:83:8f:45:19:64;192.168.120.59;58:97:bd:d6:45:60
2021-04-16 07:40:19;18:8b:9d:dc:de:c4;192.168.120.224;18:8b:9d:bc:b0:3c
2021-04-16 07:40:12;58:97:bd:d6:45:60;192.168.120.59;5c:83:8f:45:19:64
2021-04-16 07:40:08;18:8b:9d:bc:b0:3c;192.168.120.224;18:8b:9d:dc:de:c4
2021-04-16 07:39:58;5c:83:8f:45:19:64;192.168.120.59;58:97:bd:d6:45:60
2021-04-16 07:39:49;18:8b:9d:dc:de:c4;192.168.120.224;18:8b:9d:bc:b0:3c
2021-04-16 07:39:42;58:97:bd:d6:45:60;192.168.120.59;5c:83:8f:45:19:64
2021-04-16 07:39:38;18:8b:9d:bc:b0:3c;192.168.120.224;18:8b:9d:dc:de:c4
2021-04-16 07:39:28;5c:83:8f:45:19:64;192.168.120.59;58:97:bd:d6:45:60
2021-04-16 07:39:18;18:8b:9d:dc:de:c4;192.168.120.224;18:8b:9d:bc:b0:3c
