Fecha;IPAddress
2021-02-19 07:41:44;192.168.113.145
2021-02-19 07:41:43;192.168.113.145
2021-02-19 07:37:10;192.168.113.141
2021-02-19 07:37:09;192.168.113.141
2021-02-19 07:37:09;192.168.113.141
2021-02-19 07:37:08;192.168.113.141
2021-02-19 07:36:43;192.168.113.145
2021-02-19 07:36:43;192.168.113.145
2021-02-19 07:32:09;192.168.113.141
2021-02-19 07:32:08;192.168.113.141
2021-02-19 07:32:08;192.168.113.141
2021-02-19 07:32:07;192.168.113.141
2021-02-19 07:31:43;192.168.113.145
2021-02-19 07:31:43;192.168.113.145
2021-02-19 07:27:09;192.168.113.141
2021-02-19 07:27:09;192.168.113.141
2021-02-19 07:27:08;192.168.113.141
2021-02-19 07:27:08;192.168.113.141
2021-02-19 07:26:43;192.168.113.145
2021-02-19 07:26:43;192.168.113.145
2021-02-19 07:22:09;192.168.113.141
2021-02-19 07:22:09;192.168.113.141
2021-02-19 07:22:08;192.168.113.141
2021-02-19 07:22:08;192.168.113.141
2021-02-19 07:21:44;192.168.113.145
2021-02-19 07:21:43;192.168.113.145
2021-02-19 07:17:09;192.168.113.141
2021-02-19 07:17:09;192.168.113.141
2021-02-19 07:17:08;192.168.113.141
2021-02-19 07:17:08;192.168.113.141
2021-02-19 07:16:43;192.168.113.145
2021-02-19 07:16:42;192.168.113.145
2021-02-22 08:02:22;192.168.113.141
2021-02-22 08:02:22;192.168.113.141
2021-02-22 08:02:21;192.168.113.141
2021-02-22 08:02:21;192.168.113.141
2021-02-22 08:01:56;192.168.113.145
2021-02-22 08:01:55;192.168.113.145
2021-02-22 07:57:21;192.168.113.141
2021-02-22 07:57:21;192.168.113.141
2021-02-22 07:57:20;192.168.113.141
2021-02-22 07:57:20;192.168.113.141
2021-02-22 07:56:56;192.168.113.145
2021-02-22 07:56:55;192.168.113.145
2021-02-22 07:52:21;192.168.113.141
2021-02-22 07:52:21;192.168.113.141
2021-02-22 07:52:20;192.168.113.141
2021-02-22 07:52:20;192.168.113.141
2021-02-22 07:51:55;192.168.113.145
2021-02-22 07:51:55;192.168.113.145
2021-02-22 07:47:22;192.168.113.141
2021-02-22 07:47:21;192.168.113.141
2021-02-22 07:47:21;192.168.113.141
2021-02-22 07:47:20;192.168.113.141
2021-02-22 07:46:55;192.168.113.145
2021-02-22 07:46:55;192.168.113.145
2021-02-22 07:42:22;192.168.113.141
2021-02-22 07:42:21;192.168.113.141
2021-02-22 07:42:21;192.168.113.141
2021-02-22 07:42:20;192.168.113.141
2021-02-22 07:41:55;192.168.113.145
2021-02-22 07:41:55;192.168.113.145
2021-02-23 07:42:26;192.168.113.141
2021-02-23 07:42:25;192.168.113.141
2021-02-23 07:42:25;192.168.113.141
2021-02-23 07:42:24;192.168.113.141
2021-02-23 07:41:59;192.168.113.145
2021-02-23 07:41:59;192.168.113.145
2021-02-23 07:37:26;192.168.113.141
2021-02-23 07:37:25;192.168.113.141
2021-02-23 07:37:25;192.168.113.141
2021-02-23 07:37:24;192.168.113.141
2021-02-23 07:37:00;192.168.113.145
2021-02-23 07:36:59;192.168.113.145
2021-02-23 07:32:26;192.168.113.141
2021-02-23 07:32:25;192.168.113.141
2021-02-23 07:32:25;192.168.113.141
2021-02-23 07:32:24;192.168.113.141
2021-02-23 07:32:00;192.168.113.145
2021-02-23 07:31:59;192.168.113.145
2021-02-23 07:27:25;192.168.113.141
